"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Secreta_Secretorum_ENG","secr.eng","English","Latin",18350,2754,96373,27,4.75488750216347,4.03901018340207,7.14969766775716,3.11068748435509,9.54112526613255,2.39142759837539,10.7893399794513,8.3208429045736,12.1086860358518,3.78784313127818,12.9586970312021,0.85001099535029,0.435830115830116,0.369827067669173,0.325421428571429,"the","and","of","to","that",0.062016348773842,0.0524795640326975,0.22141689373297,0.314713896457766,0.443215258855586,0.534114441416894,0.619019073569482,-0.756084100630966,0.00328060289759042,-0.731715383256424,0.0204483995602255
"Codex_Wormianus_fac","worm.fac","Icelandic","Latin",31442,8637,150374,60,5.90689059560852,4.53464916890781,8.02481790052599,3.49016873161818,10.9109781301415,2.88616022961547,11.1946647822899,9.47092386881002,12.2462390064381,2.77531513762805,12.5443463140834,0.298107307645354,0.612389858507506,0.549861283936652,0.487292519070735,"⁊","at","h̅","er","þa",0.0520641180586477,0.0258889383626996,0.144106608994339,0.209274219197252,0.299758285096368,0.366229883595191,0.43607276890783,-0.811278256444846,0.00107996439355419,-0.836491230221825,0.0145171939608784
"Codex_Wormianus_dip","form.dip","Icelandic","Latin",31592,8393,162890,48,5.58496250072116,4.32164703646436,7.71153295196133,3.38988591549697,10.4491418025439,2.7376088505826,11.1834809413031,9.34655855083443,12.2000345260889,2.85347597525451,12.5591804996652,0.359145973576227,0.598929347826087,0.533418074324324,0.472578831658291,"ok","er","at","hann","þa",0.0547290453279311,0.0383641428209673,0.164630286148392,0.225246897948848,0.317833628766776,0.385097493036212,0.453912382881742,-0.812557763642522,0.00115100085981285,-0.82588199700441,0.0146046404739207
"Cirurgie","cir","English","Latin",97949,7443,483823,30,4.90689059560852,4.13156631234738,7.37147018308066,3.23990387073328,9.94828697497561,2.57681679189495,10.6738409057278,8.21464712175018,11.7689805944154,3.55433347266518,12.8628323125603,1.09385171814499,0.417636493795737,0.344506397711877,0.28127716463702,"þe","&","of","þat","is",0.0645233744091313,0.0635228537300024,0.221921612267609,0.307119010913843,0.422229935987095,0.503588602231774,0.593911117009873,-0.779114096624978,0.00196612553843797,-0.776645726074776,0.0230021279202399
"Casebook_norm","case.norm","English","Latin",3057,884,15195,41,5.35755200461808,4.45755320931317,7.87505998361654,3.41750677430336,10.1750019673386,2.29994198372203,9.78790255939143,8.275271473729,10.7324215070184,2.4571500332894,11.2984229466475,0.566001439629051,0.495614035087719,0.470324561403509,0.350910832544938,"the","&","die","at","of",0.0369643441282303,0.0287863918874714,0.144259077526987,0.245011449133137,0.377167157343801,0.496565260058881,0.62381419692509,-0.637801483365615,0.00648750947300646,-0.600842425462348,0.0208628345354459
"Casebook_diplomatic","case.dip","English","Latin",3069,901,14646,54,5.75488750216347,4.50916768058624,7.94433181432319,3.43516413373695,10.2232775089663,2.27894569464312,9.81538329581354,8.27260692121349,10.7400116747,2.46740475348655,11.3297539221294,0.589742247429376,0.501805383022774,0.476409420289855,0.356421188026193,"the","&","at","die","of",0.0364939719778429,0.028673835125448,0.143043336591724,0.24633431085044,0.385467579015966,0.503095470837406,0.627891821440208,-0.634849400790352,0.00665933870925608,-0.576790047275966,0.0195420793575441
"Hebrew_Mishneh","mish","Hebrew","Hebrew",27261,7857,143516,29,4.85798099512757,4.16662546190943,7.80402974713885,3.63740428522942,10.7476289776173,2.94359923047842,11.6852928366413,10.1640168011716,12.2719424179729,2.10792561680134,12.7088712280435,0.4369288100706,0.593484639498433,0.534416256157635,0.476782627166648,"שלא","שנאמר","לא","ה","כל",0.0319870877810792,0.0224496533509409,0.0946406954990646,0.137779245075382,0.201606690877077,0.265580866439236,0.337478449066432,-0.742332938623175,0.000796840288477893,-0.794817511127054,0.0117263771239242
"Hebrew_Bereshit","ber","Hebrew","Hebrew",17802,6327,99024,29,4.85798099512757,4.20156463626547,7.72773627816455,3.52617164189907,10.4647084392031,2.73697216103858,11.8360284439269,10.7356746334417,12.8156460501769,2.07997141673525,13.0387341007033,0.223088050526386,0.675771891096394,0.615125242449432,0.548216611172771,"ויאמר","אשר","כי","אלהים","יהוה",0.0194360184248961,0.0130884170317942,0.0575216267835075,0.0859453993933266,0.14245590383103,0.205538703516459,0.283563644534322,-0.663153605656632,0.00101457305366558,-0.739438790544584,0.00868176916588429
"Hebrew_Bereshit_vowel","ber.v","Hebrew","Hebrew",17802,7091,164569,43,5.4262647547021,4.79971694989104,8.05530557725808,3.25558862736704,10.421052048825,2.3657464715669,11.9772322670021,10.9596065260995,12.838546584099,1.8789400579995,13.0418224098875,0.203275825788442,0.700915746872701,0.646106677750069,0.58382951042052,"וַיֹּאמֶר","אֲשֶׁר","כִּי","אֱלֹהִים","יְהוָה",0.0182563756881249,0.0129760701044826,0.0560049432648017,0.0838669812380631,0.131782945736434,0.185260083136726,0.254072576115043,-0.669590075763571,0.000905989845238676,-0.75427365566241,0.0104525074737787
"Latin_Adso","adso","Latin","Latin",1939,975,13078,24,4.58496250072116,3.95001195220793,7.20156890236149,3.25155695015356,9.69300642789411,2.49143752553262,9.92925840863697,9.06804231833015,10.7759835540842,1.7079412357541,10.8992108328189,0.123227278734639,0.66328701594533,0.584487752928648,0.502836513666839,"et","in","qui","per","ad",0.0593089221248066,0.0319752449716349,0.120680763280041,0.161423414130995,0.250128932439402,0.32645693656524,0.423414130995358,-0.959885488382993,0.00569046579617412,-1.08401584370548,0.0213502412350493
