"line"	"folio"	"section"	"quire"	"panel"	"language"	"hand"	"misc"	"d.hand"	"placement"	"line_number"	"transcriber"	"complex.line"	"par_init"	"par_fin"
"fachys.ykal.ar.ataiin.shol.shory.cth!res.y.kor.sholdy!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	"fachys.ykal.ar.ataiin.shol.shory.cth!res.y.kor.sholdy!-"	0	27
"fachys.ykal.ar.ataiin.shol.shory.cthorys.y.kor.sholdy!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	"fachys.ykal.ar.ataiin.shol.shory.cthorys.y.kor.sholdy!-"	NA	NA
"fya!ys.ykal.ar.ytaiin.shol.shory.*k*!res.y!kor.sholdy!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	"fya!ys.ykal.ar.ytaiin.shol.shory.*k*!res.y!kor.sholdy!-"	NA	NA
"fachys.ykal.ar.ataiin.shol.shory.cth!res.y,kor.sholdy!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	"fachys.ykal.ar.ataiin.shol.shory.cth!res.y,kor.sholdy!-"	NA	NA
"fya!ys.ykal.ar.ytaiin.shol.shory.***!r*s.y.kor.sholdo*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	"fya!ys.ykal.ar.ytaiin.shol.shory.***!r*s.y.kor.sholdo*-"	NA	NA
"sory.ckhar.o!r.y.kair.chtaiin.shar.are.cthar.cthar.dan!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	"sory.ckhar.o!r.y.kair.chtaiin.shar.are.cthar.cthar.dan!-"	10	18
"sory.ckhar.o.r.y.kain.shtaiin.shar.ar*.cthar.cthar.dan!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	"sory.ckhar.o.r.y.kain.shtaiin.shar.ar*.cthar.cthar.dan!-"	NA	NA
"sory.ckhar.o!r!y.kair.chtaiin.shor.ar!.cthar.cthar.dana-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	"sory.ckhar.o!r!y.kair.chtaiin.shor.ar!.cthar.cthar.dana-"	NA	NA
"sory.ckhar.o!r,y.kair.chtaiin.shar.are.cthar.cthar,dan!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	"sory.ckhar.o!r,y.kair.chtaiin.shar.are.cthar.cthar,dan!-"	NA	NA
"sory.ckhar.o!r!y.kair.chtaiin.shor.ary.cthar.cthar.dan*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	"sory.ckhar.o!r!y.kair.chtaiin.shor.ary.cthar.cthar.dan*-"	NA	NA
"syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	"syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa-"	21	12
"syaiir.sheky.or.ykaiin.shod.cthoary.cth*r.daraiin.sy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	"syaiir.sheky.or.ykaiin.shod.cthoary.cth*r.daraiin.sy-"	NA	NA
"syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	"syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sy-"	NA	NA
"syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	"syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa-"	NA	NA
"syaiir.shcky.or.ykaiin.shod.cthoary.cthes.daraiin.sy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	"syaiir.shcky.or.ykaiin.shod.cthoary.cthes.daraiin.sy-"	NA	NA
"o*oiin.oteey.oteos.roloty.cth*ar.daiin.otaiin.or.okan-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	"o'oiin.oteey.oteos.roloty.cth*ar.daiin.otaiin.or.okan-"	30	11
"o!!!dsoiin.oteey.oteor.soloty.cth*ar.daiin.okaiin.ol.okan-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	"o!!!dsoiin.oteey.oteor.soloty.cth*ar.daiin.okaiin.ol.okan-"	NA	NA
"*!!!!!oiin.oteey.oteor.soloty.cth*ar.daiin.okaiin.ol.okan-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	"*!!!!!oiin.oteey.oteor.soloty.cth*ar.daiin.okaiin.ol.okan-"	NA	NA
"*!!!!!oiin.oteey.otear.roloty.cthaar.daiin.okaiin.or.okan-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	"*!!!!!oiin.oteey.otear.roloty.cthaar.daiin.okaiin.or.okan-"	NA	NA
"o*oiin.oteey.oteos,roloty.cth*ar,daiin.otaiin.or.okan-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	"o'oiin.oteey.oteos,roloty.cth*ar,daiin.otaiin.or.okan-"	NA	NA
"o*oiin.oteey.otear.roloty.cthaar.daiin.okaiin.or.okan-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	"o'oiin.oteey.otear.roloty.cthaar.daiin.okaiin.or.okan-"	NA	NA
"dair.y.chear.cthaiin.cphar.cfhaiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"H"	"dair.y.chear.cthaiin.cphar.cfhaiin="	39	0
"sair.y.chear.cthaiin.cphar.cfhaiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"C"	"sair.y.chear.cthaiin.cphar.cfhaiin="	NA	NA
"sair!y.chear.cthaiin.cphar.cfhaiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"F"	"sair!y.chear.cthaiin.cphar.cfhaiin="	NA	NA
"sair,y.chear.cthaiin.cphar.cfhaiin=*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"N"	"sair,y.chear.cthaiin.cphar.cfhaiin= "	NA	NA
"sair,y.chear.cthaiin.cphar.cfhaiin=*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"X"	"sair,y.chear.cthaiin.cphar.cfhaiin= "	NA	NA
"sair!y.chear.cthaiin.cphar.cfhaiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"U"	"sair!y.chear.cthaiin.cphar.cfhaiin="	NA	NA
"ydar!aish!!!y="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T1"	"6"	"H"	"ydar!aish!!!y="	0	0
"ydar!aish!!!o="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T1"	"6"	"C"	"ydar!aish!!!o="	NA	NA
"ydar!aish!!!y="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T1"	"6"	"F"	"ydar!aish!!!y="	NA	NA
"ydar!aish!!!y="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T1"	"6"	"N"	"ydar!aish!!!y="	NA	NA
"ydar.aishy="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T1"	"6"	"X"	"ydar.aishy="	NA	NA
"ydar!aish!!!y="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T1"	"6"	"U"	"ydar!aish!!!y="	NA	NA
"*.odar.o.!!!!y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"7"	"H"	"³.odar.o.!!!!y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-"	0	12
"*!!!!!!.odar.*!!!!!y.shol.cphoy.oydar.sh*.s.cfhoaiin.shodasy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"7"	"C"	"*!!!!!!.odar.*!!!!!y.shol.cphoy.oydar.sh*.s.cfhoaiin.shodasy-"	NA	NA
"!!!!!!!!odar.s!!!!hy.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"7"	"F"	"!!!!!!!!odar.s!!!!hy.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-"	NA	NA
"*.odar.sc*y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"7"	"N"	"³.odar.sc'y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary- "	NA	NA
"*.odar.sc*y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"7"	"U"	"³.odar.sc'y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-"	NA	NA
"yshey.shody.okcho!y.otchol.chocthy.os!chy.dain.chor.kos-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"8"	"H"	"yshey.shody.okcho!y.otchol.chocthy.os!chy.dain.chor.kos-"	11	9
"*sh!y.chody.okcho!y.otchol.chocthy.os.chy.dain.shor.kos-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"8"	"C"	"*sh!y.chody.okcho!y.otchol.chocthy.os.chy.dain.shor.kos-"	NA	NA
"yshey.shody.okcho.y.otchol.chocthy.os!chy.dain.chor.kos-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"8"	"F"	"yshey.shody.okcho.y.otchol.chocthy.os!chy.dain.chor.kos-"	NA	NA
"yshey.shody.okcho!y.otchol.chocthy.os,chy.dain.chor.kos-*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"8"	"N"	"yshey.shody.okcho!y.otchol.chocthy.os,chy.dain.chor.kos- "	NA	NA
"yshey.chody.okcho!y.otchol.chocthy.os!chy.dain.chor.kos-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"8"	"U"	"yshey.chody.okcho!y.otchol.chocthy.os!chy.dain.chor.kos-"	NA	NA
"daiin.shos.cfhol.shody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"9"	"H"	"daiin.shos.cfhol.shody="	20	0
"daiin.shos.cfhol.shody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"9"	"C"	"daiin.shos.cfhol.shody="	NA	NA
"daiin.shor.cfhol.shody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"9"	"F"	"daiin.shor.cfhol.shody="	NA	NA
"daiin.shos.cfhol.shody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"9"	"N"	"daiin.shos.cfhol.shody="	NA	NA
"daiin.sh**.cfhol.shody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"9"	"X"	"daiin.sh**.cfhol.shody="	NA	NA
"daiin.shos.cfhol.shody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P2"	"9"	"U"	"daiin.shos.cfhol.shody="	NA	NA
"dain.os.teody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T2"	"10"	"H"	"dain.os.teody="	0	0
"dain.*o!teody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T2"	"10"	"C"	"dain.*o!teody="	NA	NA
"dain.*s.teody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T2"	"10"	"F"	"dain.*s.teody="	NA	NA
"dain.os.teody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T2"	"10"	"N"	"dain.os.teody="	NA	NA
"dain.!s.teody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T2"	"10"	"X"	"dain.!s.teody="	NA	NA
"dain.*s.teody="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T2"	"10"	"U"	"dain.*s.teody="	NA	NA
"*.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodal!es-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"11"	"H"	"².ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodal!es-"	0	70
"*!!!!!!.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodal.es-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"11"	"C"	"*!!!!!!.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodal.es-"	NA	NA
"!!!!!!!!ydain.cphesaiin.ol!s.cphey.ytain.shoshy.cphodal!es-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"11"	"F"	"!!!!!!!!ydain.cphesaiin.ol!s.cphey.ytain.shoshy.cphodal!es-"	NA	NA
"*.ydain.cphesaiin.ol,s.cphey.ytain.shoshy.cphodal,es-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"11"	"N"	"².ydain.cphesaiin.ol,s.cphey.ytain.shoshy.cphodal,es-"	NA	NA
"*.ydain.cphesaiin.ol!s.cphey.ytain.shoshy.cphodal!es-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"11"	"U"	"².ydain.cphesaiin.ol!s.cphey.ytain.shoshy.cphodal!es-"	NA	NA
"oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"12"	"H"	"oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-"	9	60
"oksho.kshoy.otaiiin.oteol.okan.shodain.sckh!y.daiin-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"12"	"C"	"oksho.kshoy.otaiiin.oteol.okan.shodain.sckh!y.daiin-"	NA	NA
"oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"12"	"F"	"oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-"	NA	NA
"oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"12"	"N"	"oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin- "	NA	NA
"oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"12"	"U"	"oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-"	NA	NA
"shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"13"	"H"	"shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d!-"	17	50
"shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.sho.oldain.d!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"13"	"C"	"shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.sho.oldain.d!-"	NA	NA
"shoy.ckhey.kodaiin.cphy.cph*daiils.cthey.she.oldain.d!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"13"	"F"	"shoy.ckhey.kodaiin.cphy.cph*daiils.cthey.she.oldain.d!-"	NA	NA
"shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain,d!-*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"13"	"N"	"shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain,d!- "	NA	NA
"shoy.ckhey.kodaiin.cphy.cphoda**ls.cthey.shy.oldain.d*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"13"	"U"	"shoy.ckhey.kodaiin.cphy.cphoda**ls.cthey.shy.oldain.d*-"	NA	NA
"dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"14"	"H"	"dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod!-"	26	41
"dain.oiin.chol.odaiin.chodain.chdy.okain.d*n.cthy.kod!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"14"	"C"	"dain.oiin.chol.odaiin.chodain.chdy.okain.d*n.cthy.kod!-"	NA	NA
"dain.oiin.chol.odaiin.chodain.chdy.okoin.d*r.cthy.kod!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"14"	"F"	"dain.oiin.chol.odaiin.chodain.chdy.okoin.d*r.cthy.kod!-"	NA	NA
"dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"14"	"N"	"dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod!-"	NA	NA
"dain.oiin.chol.odaiin.chodain.chdy.okain.d*n.cthy.kod*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"14"	"U"	"dain.oiin.chol.odaiin.chodain.chdy.okain.d*n.cthy.kod*-"	NA	NA
"daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"15"	"H"	"daiin.shckhey.cKeor.chor.shey.kol.chol.chol.kor.chal-"	36	33
"daiin.shckhey.ck!!!!hor.chor.shey.kol.chol.chol.kor.chol-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"15"	"C"	"daiin.shckhey.ck!!!!hor.chor.shey.kol.chol.chol.kor.chol-"	NA	NA
"daiin.shckhey.ck!!!!hor.chor.shey.kol.chol.chol.kor.chol-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"15"	"F"	"daiin.shckhey.ck!!!!hor.chor.shey.kol.chol.chol.kor.chol-"	NA	NA
"daiin.shckhey.ck!!!!eor.chor.shey.kol.chol.chol.kor.chal-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"15"	"N"	"daiin.shckhey.ck!!!!eor.chor.shey.kol.chol.chol.kor.chal-"	NA	NA
"daiin.shckhey.ck!!!!hor.chor.shey.kol.chol.chol.kor.chol-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"15"	"U"	"daiin.shckhey.ck!!!!hor.chor.shey.kol.chol.chol.kor.chol-"	NA	NA
"sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.kchom-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"16"	"H"	"sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.kchom-"	46	25
"sho.chol.sh.odan.kshy.kchy.dor.chodaiin.sho.keeam-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"16"	"C"	"sho.chol.sh.odan.kshy.kchy.dor.chodaiin.sho.keeam-"	NA	NA
"sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.koeam-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"16"	"F"	"sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.koeam-"	NA	NA
"sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.kchom-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"16"	"N"	"sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.kchom-"	NA	NA
"sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.keeam-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"16"	"U"	"sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.keeam-"	NA	NA
"ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"17"	"H"	"ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy-"	55	17
"ycho.tchey.chekain.sheo!pshol.dodyd.cthy.da!cthy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"17"	"C"	"ycho.tchey.chekain.sheo!pshol.dodyd.cthy.da!cthy-"	NA	NA
"ycho.tchey.chekain.sheo.pshol.dydyd.cthy.daicthy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"17"	"F"	"ycho.tchey.chekain.sheo.pshol.dydyd.cthy.daicthy-"	NA	NA
"ycho.tchey.chokain.sheo,pshol.dydyd.cthy.daicthy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"17"	"N"	"ycho.tchey.chokain.sheo,pshol.dydyd.cthy.daicthy-"	NA	NA
"ycho.tchey.chetain.sheo.pshol.dydyd.cthy.daicthy-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"17"	"U"	"ycho.tchey.chetain.sheo.pshol.dydyd.cthy.daicthy-"	NA	NA
"yto.shol.she.kodshey.cphealy.das!ain.dain.ckhyds-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"18"	"H"	"yto.shol.she.kodshey.cphealy.das!ain.dain.ckhyds-"	63	12
"yto.shol.she.kodshey.cphealy.dar!ain.dain.ckhy!!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"18"	"C"	"yto.shol.she.kodshey.cphealy.dar!ain.dain.ckhy!!-"	NA	NA
"yto.shol.she.kodshey.cphealy.dar!ain.dain.ckhyds-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"18"	"F"	"yto.shol.she.kodshey.cphealy.dar!ain.dain.ckhyds-"	NA	NA
"yto.shol.she.kodshey.cphealy.das,ain.dain.ckhyds-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"18"	"N"	"yto.shol.she.kodshey.cphealy.das,ain.dain.ckhyds-"	NA	NA
"yto.shol.shy.kodshey.cphealy.dar!ain.dain.ckhyd*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"18"	"U"	"yto.shol.shy.kodshey.cphealy.dar!ain.dain.ckhyd*-"	NA	NA
"dchar.shcthaiin.okaiir.chey.rchy.!potol.cthols.dlocta-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"19"	"H"	"dchar.shcthaiin.okaiir.chey.rchy.!potol.cthols.dlocTa-"	71	10
"dchar.shcthaiin.okaiir.chey.*chy.!potol.cthols.dadet!!!!o-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"19"	"C"	"dchar.shcthaiin.okaiir.chey.*chy.!potol.cthols.dadet!!!!o-"	NA	NA
"dchar.shcthaiin.okaiir.chey.schy.cphtol.cthols.daoet!!!!a-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"19"	"F"	"dchar.shcthaiin.okaiir.chey.schy.cphtol.cthols.daoet!!!!a-"	NA	NA
"dchar.shcthaiin.okaiir.chey.*chy,!!!tol.cthols.dloct!!!!a-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"19"	"N"	"dchar.shcthaiin.okaiir.chey.*chy,!!!tol.cthols.dloct!!!!a-"	NA	NA
"dchar.shcthaiin.okaiir.chey.*chy.*p*tol.cthols.d*oct!!!!*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"19"	"U"	"dchar.shcthaiin.okaiir.chey.*chy.*p*tol.cthols.d*oct!!!!*-"	NA	NA
"shok.chor.chey.dain.ckhey="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"20"	"H"	"shok.chor.chey.dain.ckhey="	79	0
"shok.chor.chey.dain.ckhoy="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"20"	"C"	"shok.chor.chey.dain.ckhoy="	NA	NA
"shok.chor.chey.dain.ckhey="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"20"	"F"	"shok.chor.chey.dain.ckhey="	NA	NA
"shok.chor.chey.dain.ckhey="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"20"	"N"	"shok.chor.chey.dain.ckhey="	NA	NA
"shok.chor.chey.dain.ckhoy="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"20"	"X"	"shok.chor.chey.dain.ckhoy="	NA	NA
"shok.chor.chey.dain.ckhey="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P3"	"20"	"U"	"shok.chor.chey.dain.ckhey="	NA	NA
"otol.daiiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T3"	"21"	"H"	"otol.daiiin="	0	0
"otol.daiiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T3"	"21"	"C"	"otol.daiiin="	NA	NA
"otol.daiiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T3"	"21"	"F"	"otol.daiiin="	NA	NA
"otol.daiiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T3"	"21"	"N"	"otol.daiiin="	NA	NA
"otol.daiiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T3"	"21"	"X"	"otol.daiiin="	NA	NA
"otol.daiiin="	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"T3"	"21"	"U"	"otol.daiiin="	NA	NA
"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P4"	"22"	"H"	"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d*-"	0	31
"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P4"	"22"	"C"	"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d*-"	NA	NA
"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro!d!-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P4"	"22"	"F"	"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro!d!-"	NA	NA
"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro,d*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P4"	"22"	"N"	"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro,d*-"	NA	NA
"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.cha!ro!d*-"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P4"	"22"	"U"	"cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.cha!ro!d*-"	NA	NA
